A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,H9,I1,I2,I3,I4,I5,I6,I7,J1,J2,J3,J4,J5,J6,J7,J8,K1,K2,K3,K4,K5,K6,K7,L1,L2,L3,L4,L5,L6,M1,M2,M3,M4,M5,M6,M7,M8,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,O7,P1,P2,P3,P4,P5,P6,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,R3,R4,R5,R6,R7,S1,S2,S3,S4,S5,S6
,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,x,,,,,,,,,x,,,,,,,,x,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,x,x,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,x,x,x,,,,,,x,x
,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,,,,,x,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,x,x,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,x,x
,,,x,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,x,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,x,x,,,,,,,
,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,x,x,,,,,,,,x,,,,,,,,,,,x,,,,,x,,,,,x,x,x,,x,,,,,,
,,,,,,,,,,,,,,,x,x,x,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,x,,,,,,,,,,,x,x,x,x,,,,,x,x
,,,,,,,,,,,,,,,x,x,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,,,,,x,,,,,,,,,,,x,x,x,x,,,,,,x
x,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,,,x,x,,,,,x,,,x,x,,,,x,,,,x,,,,x,,,,x,x,,,,x,x,,x,,,,,,x
,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,x,x,x,,,,,,x,,,,x,x,,,,x,x,,,,,,x,,
,,,x,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x
,,,,,x,,,,,,x,x,,,,,x,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,x,x,,x,,,,,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,x,,,,,,,,,,,x,,,,,x,,
,,,x,,x,,,,,,,,,,x,x,x,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,,,x,,,x,,,,,,,,,,,,x,x,x,,,,,,,,,,,x,,,,,,,,,,x,,x,,,,,,x
,,,,,,,x,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,x,x,x,,,x,x,x,,x,,,,,,,,x,,,,,,,,x,,,,,,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,
,,,x,,x,,,,,,,,,,,x,x,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x
,,,,,,,,,,,x,x,,,,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,,,x,x,,x,,x,,,,x,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,,,x,,,,,,,,,,,,,x,,x,x,,,,,,
,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,x,,,x,,,,,,
,,,,,,,,,,,x,x,,,,,,,x,,,x,,,x,x,,,,,x,,,,,,,,,,,,,x,x,,x,,x,,,,x,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,x,x,,,,,,
